,timestamp,media,topic_num,model,mse,mae,epochs,lr,discard_index
29,2022-11-16 14:15:47,patents,10,tgcn,0.1660675853490829,0.3374813795089721,200,0.001,12
2,2022-11-16 14:01:01,patents,3,dcrnn,0.1662734448909759,0.32553231716156,200,0.001,12
74,2022-11-17 00:25:05,patents,10,a3tgcn,0.1663050204515457,0.3343613445758819,200,0.001,12
71,2022-11-17 00:24:26,patents,7,a3tgcn,0.1682204306125641,0.3266602754592895,200,0.001,12
68,2022-11-17 00:23:46,patents,4,a3tgcn,0.1684083640575409,0.3183483779430389,200,0.001,12
11,2022-11-16 14:11:43,patents,1,tgcn,0.1687995344400406,0.3384992778301239,200,0.001,12
66,2022-11-17 00:23:20,patents,2,a3tgcn,0.1692928671836853,0.3362200558185577,200,0.001,12
9,2022-11-16 14:03:02,patents,11,dcrnn,0.1740158200263977,0.3626978099346161,200,0.001,12
23,2022-11-16 14:14:27,patents,7,tgcn,0.1748307198286056,0.3319950699806213,200,0.001,12
65,2022-11-17 00:23:07,patents,1,a3tgcn,0.1769818812608719,0.3499656319618225,200,0.001,12
5,2022-11-16 14:01:54,patents,7,dcrnn,0.1819418519735336,0.3432032763957977,200,0.001,12
8,2022-11-16 14:02:45,patents,10,dcrnn,0.1828481703996658,0.3613482713699341,200,0.001,12
27,2022-11-16 14:15:19,patents,9,tgcn,0.1843414008617401,0.3618673682212829,200,0.001,12
0,2022-11-16 14:00:27,patents,1,dcrnn,0.1854897439479828,0.363130509853363,200,0.001,12
73,2022-11-17 00:24:52,patents,9,a3tgcn,0.1859467178583145,0.3631681799888611,200,0.001,12
1,2022-11-16 14:00:44,patents,2,dcrnn,0.1870951950550079,0.3632397353649139,200,0.001,12
19,2022-11-16 14:13:31,patents,5,tgcn,0.1960880011320114,0.3813897669315338,200,0.001,12
7,2022-11-16 14:02:27,patents,9,dcrnn,0.1968846619129181,0.3806501924991607,200,0.001,12
69,2022-11-17 00:23:59,patents,5,a3tgcn,0.1992491334676742,0.3857846558094024,200,0.001,12
21,2022-11-16 14:13:59,patents,6,tgcn,0.2002225816249847,0.3871441781520843,200,0.001,12
3,2022-11-16 14:01:18,patents,5,dcrnn,0.2059896737337112,0.394731730222702,200,0.001,12
70,2022-11-17 00:24:13,patents,6,a3tgcn,0.2064052522182464,0.3944488167762756,200,0.001,12
4,2022-11-16 14:01:37,patents,6,dcrnn,0.212171271443367,0.4022706151008606,200,0.001,12
