timestamp,mse,mae,media,model,node_feature_type,epochs,batch_size,lr,num_train_clusters,num_valid_clusters,num_test_clusters,seq_len,pred_len,desc
2023-05-07 15:52,0.02369773,0.099479087,papers,a3tgcn2,['betweenness'],30,32,0.001,4000,1000,1000,12,3,desc
2023-05-04 12:41,0.023699706,0.101466313,papers,a3tgcn2,"['betweenness', 'closeness']",500,32,0.001,2000,2000,2000,12,6,desc
2023-05-05 23:57,0.023794413,0.103502624,papers,a3tgcn2,"['betweenness', 'degree']",30,32,0.01,4000,1000,1000,12,1,desc
2023-05-06 11:53,0.024107467,0.105346985,papers,a3tgcn2,"['closeness', 'degree']",30,32,0.01,4000,1000,1000,12,1,desc
2023-05-08 3:15,0.024361262,0.100214034,papers,a3tgcn2,['degree'],30,32,0.001,4000,1000,1000,12,3,desc
2023-05-06 4:58,0.025071625,0.100083038,papers,a3tgcn2,"['betweenness', 'degree']",30,32,0.001,4000,1000,1000,12,3,desc
2023-05-07 22:43,0.025143363,0.105619937,papers,a3tgcn2,['degree'],30,32,0.01,4000,1000,1000,12,1,desc
2023-05-08 14:34,0.025564468,0.102768645,papers,a3tgcn2,['closeness'],30,32,0.01,4000,1000,1000,12,6,desc
2023-05-04 0:51,0.025905887,0.113215454,papers,a3tgcn2,['closeness'],30,32,0.001,2000,2000,2000,12,3,desc
2023-05-08 14:55,0.025935384,0.105252646,papers,a3tgcn2,['closeness'],30,32,0.001,4000,1000,1000,12,3,desc
2023-05-08 2:02,0.025939692,0.106279433,papers,a3tgcn2,['degree'],30,32,0.001,4000,1000,1000,12,1,desc
2023-05-07 14:42,0.026599772,0.100106224,papers,a3tgcn2,['betweenness'],30,32,0.01,4000,1000,1000,12,6,desc
2023-05-06 3:53,0.026611056,0.103944868,papers,a3tgcn2,"['betweenness', 'degree']",30,32,0.01,4000,1000,1000,12,6,desc
2023-05-06 15:50,0.026831461,0.101193704,papers,a3tgcn2,"['closeness', 'degree']",30,32,0.01,4000,1000,1000,12,6,desc
2023-05-07 2:58,0.027603406,0.108673953,papers,a3tgcn2,"['betweenness', 'closeness', 'degree']",30,32,0.01,4000,1000,1000,12,6,desc
2023-05-08 2:43,0.02799922,0.10439527,papers,a3tgcn2,['degree'],30,32,0.01,4000,1000,1000,12,6,desc
2023-05-05 19:38,0.028493043,0.105343677,papers,a3tgcn2,"['betweenness', 'closeness']",30,32,0.001,4000,1000,1000,12,6,desc
2023-05-05 17:45,0.029051295,0.110046983,papers,a3tgcn2,"['betweenness', 'closeness']",30,32,0.01,4000,1000,1000,12,6,desc
2023-05-07 4:55,0.029891213,0.113006078,papers,a3tgcn2,"['betweenness', 'closeness', 'degree']",30,32,0.0001,4000,1000,1000,12,3,desc
2023-05-06 5:22,0.029914416,0.111509688,papers,a3tgcn2,"['betweenness', 'degree']",30,32,0.0001,4000,1000,1000,12,3,desc
2023-05-06 17:10,0.030029505,0.112426221,papers,a3tgcn2,"['closeness', 'degree']",30,32,0.0001,4000,1000,1000,12,3,desc
2023-05-07 17:09,0.030796446,0.110093489,papers,a3tgcn2,['betweenness'],30,32,0.0001,4000,1000,1000,12,3,desc
2023-05-08 3:59,0.030882027,0.113401808,papers,a3tgcn2,['degree'],30,32,0.0001,4000,1000,1000,12,3,desc
2023-05-08 16:06,0.031397872,0.114566058,papers,a3tgcn2,['closeness'],30,32,0.0001,4000,1000,1000,12,3,desc
2023-05-07 18:01,0.031916525,0.108150646,papers,a3tgcn2,['betweenness'],30,32,0.001,4000,1000,1000,12,6,desc
2023-05-05 19:39,0.032352265,0.112342887,papers,a3tgcn2,"['betweenness', 'closeness']",30,32,0.0001,4000,1000,1000,12,6,desc
2023-05-08 16:45,0.032352977,0.114499345,papers,a3tgcn2,['closeness'],30,32,0.001,4000,1000,1000,12,6,desc
2023-05-11 15:54:49,0.03262272849678993,0.11462337523698807,papers,a3tgcn2,"['betweenness', 'closeness']",500,64,0.001,4000,1000,1000,12,6,desc
2023-05-06 18:22,0.033003733,0.114864528,papers,a3tgcn2,"['closeness', 'degree']",30,32,0.001,4000,1000,1000,12,6,desc
2023-05-06 6:46,0.033011116,0.114366747,papers,a3tgcn2,"['betweenness', 'degree']",30,32,0.001,4000,1000,1000,12,6,desc
2023-05-08 5:46,0.033662073,0.112840012,papers,a3tgcn2,['degree'],30,32,0.001,4000,1000,1000,12,6,desc
2023-05-07 6:24,0.033878241,0.11614351,papers,a3tgcn2,"['betweenness', 'closeness', 'degree']",30,32,0.001,4000,1000,1000,12,6,desc
2023-05-04 18:34,0.036283791,0.125953987,papers,a3tgcn2,"['betweenness', 'closeness']",500,32,0.001,2000,2000,2000,12,9,desc
2023-05-07 19:35,0.038983706,0.123102002,papers,a3tgcn2,['betweenness'],30,32,0.0001,4000,1000,1000,12,6,desc
2023-05-06 19:37,0.039040886,0.126182571,papers,a3tgcn2,"['closeness', 'degree']",30,32,0.0001,4000,1000,1000,12,6,desc
2023-05-03 21:02,0.039066508,0.120147742,papers,a3tgcn2,['betweenness'],30,32,0.01,2000,2000,2000,12,9,desc
2023-05-06 7:49,0.039300516,0.126107782,papers,a3tgcn2,"['betweenness', 'degree']",30,32,0.0001,4000,1000,1000,12,6,desc
2023-05-08 6:27,0.039308365,0.125563368,papers,a3tgcn2,['degree'],30,32,0.0001,4000,1000,1000,12,6,desc
2023-05-08 18:34,0.039521165,0.127149686,papers,a3tgcn2,['closeness'],30,32,0.0001,4000,1000,1000,12,6,desc
2023-05-05 20:08,0.039806709,0.128040999,papers,a3tgcn2,"['betweenness', 'closeness']",30,32,0.01,4000,1000,1000,12,9,desc
2023-05-07 7:30,0.040462095,0.130206525,papers,a3tgcn2,"['betweenness', 'closeness', 'degree']",30,32,0.0001,4000,1000,1000,12,6,desc
2023-05-07 18:10,0.040571503,0.117764458,papers,a3tgcn2,['betweenness'],30,32,0.01,4000,1000,1000,12,9,desc
2023-05-08 18:03,0.040810354,0.125541255,papers,a3tgcn2,['closeness'],30,32,0.01,4000,1000,1000,12,9,desc
2023-05-05 23:10,0.041492369,0.131282195,papers,a3tgcn2,"['betweenness', 'closeness']",30,32,0.001,4000,1000,1000,12,9,desc
2023-05-03 21:06,0.041906044,0.131482169,papers,a3tgcn2,"['closeness', 'degree']",30,32,0.01,2000,2000,2000,12,9,desc
2023-05-05 23:10,0.041939825,0.120755926,papers,a3tgcn2,"['betweenness', 'closeness']",30,32,0.0001,4000,1000,1000,12,9,desc
2023-05-06 19:10,0.0427262,0.127504975,papers,a3tgcn2,"['closeness', 'degree']",30,32,0.01,4000,1000,1000,12,9,desc
2023-05-06 10:12,0.042740483,0.131328315,papers,a3tgcn2,"['betweenness', 'degree']",30,32,0.001,4000,1000,1000,12,9,desc
2023-05-08 6:12,0.042934388,0.125925139,papers,a3tgcn2,['degree'],30,32,0.01,4000,1000,1000,12,9,desc
2023-05-07 21:28,0.043467894,0.122676708,papers,a3tgcn2,['betweenness'],30,32,0.001,4000,1000,1000,12,9,desc
2023-05-08 20:18,0.043912712,0.128966168,papers,a3tgcn2,['closeness'],30,32,0.001,4000,1000,1000,12,9,desc
2023-05-07 9:52,0.044540741,0.128830954,papers,a3tgcn2,"['betweenness', 'closeness', 'degree']",30,32,0.001,4000,1000,1000,12,9,desc
2023-05-08 9:18,0.044782698,0.127719298,papers,a3tgcn2,['degree'],30,32,0.001,4000,1000,1000,12,9,desc
2023-05-06 8:55,0.045219865,0.134196639,papers,a3tgcn2,"['betweenness', 'closeness']",500,32,0.001,2000,2000,2000,12,12,desc
2023-05-06 21:48,0.045223609,0.126549572,papers,a3tgcn2,"['closeness', 'degree']",30,32,0.001,4000,1000,1000,12,9,desc
2023-05-07 6:30,0.045496859,0.12426386,papers,a3tgcn2,"['betweenness', 'closeness', 'degree']",30,32,0.01,4000,1000,1000,12,9,desc
2023-05-03 20:41,0.045980342,0.130497083,papers,a3tgcn2,"['betweenness', 'closeness', 'degree']",30,32,0.01,2000,2000,2000,12,9,desc
2023-05-05 23:16,0.046190605,0.132636622,papers,a3tgcn2,"['betweenness', 'closeness']",30,32,0.01,4000,1000,1000,12,12,desc
2023-05-08 9:54,0.047368065,0.132370383,papers,a3tgcn2,['degree'],30,32,0.0001,4000,1000,1000,12,9,desc
2023-05-06 7:21,0.047622018,0.131865069,papers,a3tgcn2,"['betweenness', 'degree']",30,32,0.01,4000,1000,1000,12,9,desc
2023-05-08 22:02,0.047869485,0.132099405,papers,a3tgcn2,['closeness'],30,32,0.0001,4000,1000,1000,12,9,desc
2023-05-06 23:02,0.047933325,0.13249658,papers,a3tgcn2,"['closeness', 'degree']",30,32,0.0001,4000,1000,1000,12,9,desc
2023-05-07 21:53,0.048247412,0.13061893,papers,a3tgcn2,['betweenness'],30,32,0.0001,4000,1000,1000,12,9,desc
2023-05-07 10:56,0.048283517,0.136711791,papers,a3tgcn2,"['betweenness', 'closeness', 'degree']",30,32,0.0001,4000,1000,1000,12,9,desc
2023-05-08 20:57,0.049084842,0.138679177,papers,a3tgcn2,['closeness'],30,32,0.01,4000,1000,1000,12,12,desc
2023-05-06 11:12,0.049202669,0.139236137,papers,a3tgcn2,"['betweenness', 'degree']",30,32,0.0001,4000,1000,1000,12,9,desc
2023-05-07 22:05,0.049662992,0.139193654,papers,a3tgcn2,['betweenness'],30,32,0.01,4000,1000,1000,12,12,desc
2023-05-07 10:20,0.050698195,0.141384169,papers,a3tgcn2,"['betweenness', 'closeness', 'degree']",30,32,0.01,4000,1000,1000,12,12,desc
2023-05-06 22:38,0.050880708,0.136347145,papers,a3tgcn2,"['closeness', 'degree']",30,32,0.01,4000,1000,1000,12,12,desc
2023-05-08 9:52,0.051541805,0.138995603,papers,a3tgcn2,['degree'],30,32,0.01,4000,1000,1000,12,12,desc
2023-05-06 11:16,0.052269686,0.141134873,papers,a3tgcn2,"['betweenness', 'degree']",30,32,0.01,4000,1000,1000,12,12,desc
2023-05-06 2:53,0.053378459,0.151501685,papers,a3tgcn2,"['betweenness', 'closeness']",30,32,0.001,4000,1000,1000,12,12,desc
2023-05-06 14:15,0.053959701,0.152255237,papers,a3tgcn2,"['betweenness', 'degree']",30,32,0.001,4000,1000,1000,12,12,desc
2023-05-07 2:01,0.054643113,0.150572166,papers,a3tgcn2,"['closeness', 'degree']",30,32,0.001,4000,1000,1000,12,12,desc
2023-05-08 1:26,0.055766195,0.151798695,papers,a3tgcn2,['betweenness'],30,32,0.001,4000,1000,1000,12,12,desc
2023-05-09 0:09,0.055997197,0.151196927,papers,a3tgcn2,['closeness'],30,32,0.001,4000,1000,1000,12,12,desc
2023-05-07 13:49,0.056053374,0.156695783,papers,a3tgcn2,"['betweenness', 'closeness', 'degree']",30,32,0.001,4000,1000,1000,12,12,desc
2023-05-08 13:22,0.056596782,0.15167354,papers,a3tgcn2,['degree'],30,32,0.001,4000,1000,1000,12,12,desc
2023-05-07 15:03,0.060218088,0.163283244,papers,a3tgcn2,"['betweenness', 'closeness', 'degree']",30,32,0.0001,4000,1000,1000,12,12,desc
2023-05-09 1:58,0.060351938,0.161486268,papers,a3tgcn2,['closeness'],30,32,0.0001,4000,1000,1000,12,12,desc
2023-05-08 1:52,0.060445514,0.161390632,papers,a3tgcn2,['betweenness'],30,32,0.0001,4000,1000,1000,12,12,desc
2023-05-08 13:50,0.060520638,0.164122567,papers,a3tgcn2,['degree'],30,32,0.0001,4000,1000,1000,12,12,desc
2023-05-06 15:06,0.060650598,0.165146947,papers,a3tgcn2,"['betweenness', 'degree']",30,32,0.0001,4000,1000,1000,12,12,desc
2023-05-07 2:58,0.060652807,0.163790435,papers,a3tgcn2,"['closeness', 'degree']",30,32,0.0001,4000,1000,1000,12,12,desc
2023-05-06 3:20,0.060991254,0.164497972,papers,a3tgcn2,"['betweenness', 'closeness']",30,32,0.0001,4000,1000,1000,12,12,desc
