timestamp,mse,mae,topic_mse,topic_mae,model,node_feature_type,epochs,lr,cluster_dir,topic_dir
2023-01-29 18:22,0.038131636,0.087907299,0.014838201,0.049292352, tgcn,"['betweenness', 'closeness', 'degree']",200,0.001, /Data2/yejin/blockchain_data/patents_co10/clusters.max_structured, /Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-01-31 11:42:25,0.0382578149437904,0.0885507091879844,0.0148689225316047,0.049466885626316,a3tgcn,"['betweenness', 'closeness', 'degree']",200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-01-31 02:57:29,0.0382759235799312,0.0878745093941688,0.0148267792537808,0.0474650934338569,a3tgcn,"['betweenness', 'closeness']",200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 10:50:59,0.0382972285151481,0.0885686501860618,0.0147096784785389,0.049075324088335,tgcn,"['betweenness', 'closeness', 'degree']",200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 02:24:59,0.0383815951645374,0.0878702104091644,0.0145916705951094,0.0471288301050663,a3tgcn,"['betweenness', 'closeness']",200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 02:14:32,0.0384014546871185,0.0882899314165115,0.015018705278635,0.048139814287424,tgcn,"['betweenness', 'closeness']",200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-01-28 22:44,0.038419895,0.087276846,0.015018254,0.047114141, tgcn,"['betweenness', 'closeness']",200,0.001, /Data2/yejin/blockchain_data/patents_co10/clusters.max_structured, /Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 08:34:51,0.0386711955070495,0.0865484774112701,0.014673794619739,0.0475868619978427,a3tgcn,"['closeness', 'degree']",200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 11:37:07,0.0386955663561821,0.0901262462139129,0.0151378363370895,0.0507761798799037,a3tgcn,"['betweenness', 'closeness', 'degree']",200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-01-31 08:46:44,0.0386965461075305,0.0865526050329208,0.0146687496453523,0.0475276559591293,a3tgcn,"['closeness', 'degree']",200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 22:53:22,0.0387172512710094,0.0860497429966926,0.0155054591596126,0.0473150685429573,tgcn,['closeness'],200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 08:00:56,0.0387173481285572,0.0865092352032661,0.0150797022506594,0.0472230203449726,tgcn,"['closeness', 'degree']",200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-01-27 0:24,0.038738776,0.086336911,0.015536685,0.047965024, tgcn,['closeness'],200,0.001, /Data2/yejin/blockchain_data/patents_co10/clusters.max_structured, /Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-01-27 5:08,0.038764954,0.086295724,0.015563407,0.047652416, a3tgcn,['closeness'],200,0.001, /Data2/yejin/blockchain_data/patents_co10/clusters.max_structured, /Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 23:29:20,0.03877357766032219,0.0863180086016655,0.015420953743159771,0.04761837422847748,a3tgcn,['closeness'],200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-01-29 11:50,0.039427262,0.087341681,0.015755916,0.048081413, tgcn,"['closeness', 'degree']",200,0.001, /Data2/yejin/blockchain_data/patents_co10/clusters.max_structured, /Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 20:27:36,0.039907019585371,0.087750144302845,0.0144060999155044,0.0452192053198814,a3tgcn,['degree'],200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 20:02:09,0.0399088114500045,0.0880108177661895,0.0144489901140332,0.0455615222454071,tgcn,['degree'],200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-01-27 0:19,0.039909862,0.087476678,0.014514156,0.044880219, tgcn,['degree'],200,0.001, /Data2/yejin/blockchain_data/patents_co10/clusters.max_structured, /Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-01-27 5:03,0.039916363,0.087635331,0.014509777,0.044933174, a3tgcn,['degree'],200,0.001, /Data2/yejin/blockchain_data/patents_co10/clusters.max_structured, /Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-01-29 5:18,0.039937969,0.088469781,0.015410836,0.047274217, tgcn,"['betweenness', 'degree']",200,0.001, /Data2/yejin/blockchain_data/patents_co10/clusters.max_structured, /Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 05:31:01,0.0399939939379692,0.0883399620652198,0.0154321491718292,0.0472814291715621,a3tgcn,"['betweenness', 'degree']",200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 05:08:48,0.0400141701102256,0.0883735120296478,0.0154334306716918,0.0470948778092861,tgcn,"['betweenness', 'degree']",200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-01-31 05:52:34,0.0400171391665935,0.088935263454914,0.0155007932335138,0.0481059998273849,a3tgcn,"['betweenness', 'degree']",200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-01-27 2:01,0.042058337,0.11822743,0.052367125,0.168451592, agcrn,['degree'],200,0.001, '/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured, /Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 17:41:17,0.0420583374798297,0.1182274296879768,0.0523671247065067,0.1684515923261642,agcrn,['degree'],200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 02:46:39,0.0423178225755691,0.1120299771428108,0.0302093029022216,0.1329782903194427,agcrn,"['betweenness', 'degree']",200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-01-29 6:57,0.042317823,0.112029977,0.030209303,0.13297829, agcrn,"['betweenness', 'degree']",200,0.001, /Data2/yejin/blockchain_data/patents_co10/clusters.max_structured, /Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-01-27 5:02,0.054462522,0.108887158,0.015488526,0.049589861, a3tgcn,['betweenness'],200,0.001, /Data2/yejin/blockchain_data/patents_co10/clusters.max_structured, /Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 17:09:20,0.0546504594385623,0.1089570373296737,0.0157032068818807,0.0497813187539577,tgcn,['betweenness'],200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-01-27 0:21,0.054667,0.109250933,0.015758401,0.049888857, tgcn,['betweenness'],200,0.001, /Data2/yejin/blockchain_data/patents_co10/clusters.max_structured, /Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 17:22:22,0.0546736493706703,0.1094754561781883,0.015641838312149,0.0496398098766803,a3tgcn,['betweenness'],200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-01-26 21:30,0.055093832,0.127163842,0.017376386,0.07043948, dcrnn,['betweenness'],200,0.001, /Data2/yejin/blockchain_data/patents_co10/clusters.max_structured, /Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 16:17:51,0.055128090083599,0.1271382719278335,0.0172878466546535,0.0696298629045486,dcrnn,['betweenness'],200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-02-05 15:58:38,0.062698557972908,0.1531076580286026,0.0342371314764022,0.1194718107581138,agcrn,['betweenness'],200,0.001,/Data2/yejin/blockchain_data/patents_co10/clusters.max_structured,/Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
2023-01-27 2:03,0.062698558,0.153107658,0.034237131,0.119471811, agcrn,['betweenness'],200,0.001, /Data2/yejin/blockchain_data/patents_co10/clusters.max_structured, /Data2/yejin/blockchain_data/patents_co10/4.topic_all_set.max_structured
