	request	transaction	transactions	account	payment	transfer	exchange	amount	cryptocurrency	currency	place_holder_00	place_holder_01	place_holder_02	place_holder_03	place_holder_04	place_holder_05	place_holder_06	place_holder_07	place_holder_08	place_holder_09
word_count:2019_11	18.0	14.0	7.0	1.0	2.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2019_12	21.0	18.0	10.0	5.0	4.0	9.0	3.0	6.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_01	12.0	19.0	7.0	4.0	4.0	5.0	2.0	3.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_02	15.0	16.0	15.0	3.0	0.0	6.0	4.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_03	33.0	30.0	15.0	4.0	6.0	6.0	5.0	5.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_04	19.0	27.0	14.0	7.0	5.0	6.0	3.0	8.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_05	30.0	28.0	16.0	6.0	6.0	8.0	4.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_06	55.0	36.0	17.0	10.0	6.0	7.0	5.0	11.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_07	30.0	30.0	8.0	8.0	6.0	7.0	3.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_08	29.0	38.0	18.0	10.0	1.0	4.0	6.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_09	54.0	49.0	15.0	19.0	7.0	10.0	7.0	14.0	7.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_10	42.0	26.0	18.0	8.0	9.0	5.0	2.0	8.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_11	38.0	39.0	23.0	10.0	9.0	9.0	4.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_12	60.0	31.0	17.0	9.0	7.0	4.0	15.0	6.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_01	44.0	28.0	20.0	7.0	4.0	4.0	5.0	4.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_02	49.0	39.0	17.0	9.0	5.0	5.0	9.0	6.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_03	57.0	45.0	20.0	10.0	5.0	13.0	8.0	10.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_04	57.0	31.0	22.0	11.0	11.0	8.0	12.0	5.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_05	32.0	38.0	19.0	8.0	7.0	5.0	9.0	5.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_06	74.0	67.0	31.0	21.0	11.0	9.0	12.0	18.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_07	51.0	39.0	24.0	17.0	14.0	7.0	8.0	12.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_08	91.0	72.0	32.0	20.0	17.0	11.0	13.0	13.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_09	58.0	38.0	16.0	14.0	5.0	6.0	6.0	8.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_10	47.0	53.0	27.0	14.0	6.0	10.0	10.0	12.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_11	66.0	60.0	37.0	23.0	14.0	12.0	19.0	12.0	10.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_12	63.0	55.0	22.0	12.0	11.0	8.0	10.0	6.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_01	51.0	35.0	21.0	20.0	9.0	14.0	9.0	6.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_02	74.0	66.0	33.0	26.0	23.0	12.0	7.0	16.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_03	68.0	60.0	33.0	23.0	20.0	9.0	6.0	16.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_04	57.0	57.0	18.0	16.0	8.0	20.0	5.0	15.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_05	33.0	31.0	16.0	10.0	8.0	11.0	5.0	4.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_06	27.0	28.0	15.0	9.0	8.0	4.0	5.0	10.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_08	16.0	16.0	8.0	5.0	2.0	4.0	3.0	3.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_09	51.0	79.0	42.0	16.0	10.0	19.0	15.0	13.0	18.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_11	20.0	33.0	13.0	14.0	6.0	2.0	13.0	4.0	7.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_12	20.0	12.0	11.0	3.0	6.0	8.0	6.0	5.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_01	36.0	21.0	20.0	9.0	9.0	4.0	12.0	2.0	7.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_02	26.0	16.0	19.0	5.0	8.0	5.0	6.0	7.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_03	44.0	50.0	25.0	8.0	18.0	5.0	5.0	8.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_04	39.0	51.0	22.0	7.0	7.0	6.0	5.0	3.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_05	17.0	34.0	16.0	6.0	4.0	12.0	3.0	5.0	16.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_06	36.0	37.0	31.0	6.0	12.0	11.0	10.0	2.0	12.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_07	33.0	23.0	15.0	3.0	6.0	5.0	3.0	5.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_08	31.0	31.0	15.0	7.0	12.0	13.0	6.0	4.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_09	39.0	31.0	16.0	10.0	11.0	12.0	4.0	4.0	8.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_10	51.0	24.0	22.0	8.0	5.0	11.0	9.0	5.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_11	46.0	30.0	22.0	11.0	14.0	11.0	10.0	3.0	10.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_12	39.0	31.0	17.0	9.0	10.0	11.0	8.0	6.0	11.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
