Source,Target,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Lag_10,Lag_11,Lag_12
News7,Papers10,0.838438019736921,0.7779388651993455,0.42995580584540305,0.027243150073519913,0.040923577690863494,0.013150079388458798,0.02817191373893401,0.059343659256846384,0.09219710656801608,0.14888580673843166,0.21407166037366746,0.15645998590911953
News7,Patents13,0.7314250926194841,0.0255095718196029,0.07533081279292773,0.2201464777526349,0.1708593493461437,0.059937235099065345,0.09670453156450155,0.16992223020177025,0.11537829135518854,0.10780198277341589,0.06946115179430931,0.07553859734500161
Papers10,Patents13,0.1785488253718496,0.13855914589276808,0.1100907859530892,0.020089427330887977,0.040218087074927966,0.01010439522742698,0.004894083328746028,0.00865544143702603,0.001727767445022719,0.00029024765298757605,0.00037119447816427503,5.61700061503812e-05
Papers10,News7,0.440260421952102,0.773153624282108,0.8925178419515726,0.9706469069244161,0.9799576108418278,0.9904392283009599,0.301071308962614,0.34992308817004625,0.12062324396810152,0.20909661304495145,0.31883502965119376,0.4977474817020353
Patents13,News7,0.803491117821177,0.6497427535807717,0.2821832586381915,0.2256366694645464,0.0588050582923032,0.12227892338842003,0.10291885317500551,0.1888892582922568,0.21014526773070136,0.3080196744846168,0.3454767228314103,0.46547415049780794
Patents13,Papers10,0.1611942413084752,0.037932274572802877,0.05933045312261731,0.04465246409479683,0.0915245356437812,0.0334418182947903,0.07635441850274405,0.00996499979002564,0.01745404591958537,0.009797592462027745,0.021044885218371896,0.0035828505147446617
