	transactions	transaction	article	bitcoin	market	cryptocurrency	cryptocurrencies	economy	money	currency	place_holder_00	place_holder_01	place_holder_02	place_holder_03	place_holder_04	place_holder_05	place_holder_06	place_holder_07	place_holder_08	place_holder_09
word_count:2019_11	85.0	72.0	24.0	38.0	29.0	31.0	22.0	16.0	18.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2019_12	92.0	77.0	34.0	52.0	39.0	36.0	22.0	24.0	14.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_01	533.0	445.0	257.0	334.0	268.0	272.0	205.0	169.0	95.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_02	40.0	40.0	24.0	25.0	29.0	26.0	12.0	10.0	7.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_03	66.0	49.0	54.0	41.0	33.0	36.0	22.0	13.0	12.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_04	55.0	44.0	34.0	33.0	30.0	20.0	18.0	15.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_05	58.0	63.0	34.0	31.0	29.0	15.0	22.0	13.0	8.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_06	119.0	86.0	53.0	49.0	48.0	38.0	30.0	24.0	16.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_07	62.0	61.0	44.0	36.0	30.0	15.0	14.0	13.0	12.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_08	63.0	53.0	28.0	17.0	41.0	23.0	17.0	24.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_09	109.0	76.0	78.0	44.0	52.0	45.0	43.0	29.0	8.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_10	99.0	79.0	50.0	57.0	52.0	34.0	31.0	17.0	12.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_11	93.0	93.0	81.0	57.0	42.0	36.0	29.0	16.0	8.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2020_12	100.0	101.0	43.0	48.0	54.0	47.0	33.0	24.0	9.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_01	841.0	724.0	477.0	414.0	399.0	315.0	246.0	234.0	116.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_02	51.0	50.0	58.0	18.0	33.0	21.0	14.0	12.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_03	81.0	75.0	73.0	37.0	38.0	31.0	14.0	26.0	16.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_04	78.0	66.0	57.0	29.0	29.0	21.0	20.0	18.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_05	103.0	72.0	58.0	43.0	40.0	39.0	32.0	19.0	8.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_06	107.0	88.0	67.0	35.0	56.0	22.0	30.0	38.0	14.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_07	81.0	79.0	52.0	42.0	20.0	32.0	26.0	16.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_08	60.0	49.0	43.0	16.0	29.0	10.0	13.0	17.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_09	79.0	76.0	56.0	42.0	33.0	40.0	30.0	19.0	11.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_10	52.0	39.0	39.0	26.0	19.0	17.0	11.0	20.0	9.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_11	51.0	44.0	39.0	24.0	45.0	19.0	17.0	9.0	10.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2021_12	76.0	57.0	56.0	28.0	39.0	26.0	21.0	32.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2022_01	1263.0	1107.0	672.0	584.0	641.0	501.0	358.0	363.0	184.0	123.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
