timestamp,mse,mae,media,model,node_feature_type,epochs,batch_size,lr,num_train_clusters,num_valid_clusters,num_test_clusters,seq_len,pred_len,desc,hidden_size,num_layers
2024-05-24 03:52:58,0.0713769719004631,0.1780567467212677,news,lstm,"['betweenness', 'closeness', 'degree']",100,64,0.01,2000,500,500,12,6,desc,4,1
2024-05-24 03:27:48,0.071425549685955,0.1797963082790374,news,gru,"['closeness', 'degree']",100,64,0.01,2000,500,500,12,6,desc,32,3
2024-05-23 22:06:27,0.0714282318949699,0.1853620111942291,patents,lstm,"['betweenness', 'degree']",100,64,0.01,2000,500,500,12,1,desc,4,1
2024-05-24 15:44:19,0.071576751768589,0.1748896092176437,news,gru,['degree'],100,64,0.01,2000,500,500,12,6,desc,4,3
2024-05-24 19:54:14,0.0716033428907394,0.1860181093215942,patents,lstm,['degree'],100,64,0.01,2000,500,500,12,1,desc,4,1
2024-05-24 10:22:25,0.0716475397348404,0.1872313022613525,patents,gru,"['betweenness', 'degree']",100,64,0.01,2000,500,500,12,3,desc,4,2
2024-05-24 17:59:40,0.0717660039663314,0.1871449798345565,patents,lstm,"['closeness', 'degree']",100,64,0.01,2000,500,500,12,3,desc,4,4
2024-05-24 15:56:31,0.0717984959483146,0.1894773691892624,patents,lstm,"['betweenness', 'closeness']",100,64,0.01,2000,500,500,12,3,desc,4,4
2024-05-23 03:03:12,0.0718751922249794,0.1867824643850326,patents,gru,"['betweenness', 'closeness', 'degree']",100,64,0.01,2000,500,500,12,3,desc,8,2
2024-05-23 23:42:21,0.0719772577285766,0.178419828414917,news,gru,"['betweenness', 'degree']",100,64,0.01,2000,500,500,12,6,desc,32,3
2024-05-24 12:52:23,0.0721394941210746,0.1863123178482055,patents,gru,['degree'],100,64,0.01,2000,500,500,12,1,desc,4,2
2024-05-24 13:25:09,0.0721648335456848,0.1743537783622741,news,lstm,['degree'],100,64,0.01,2000,500,500,12,6,desc,4,3
2024-05-23 23:18:21,0.0722554251551628,0.1770149618387222,news,gru,"['betweenness', 'degree']",100,64,0.01,2000,500,500,12,6,desc,32,1
2024-05-22 23:27:30,0.0722555592656135,0.1895948499441146,patents,lstm,"['betweenness', 'closeness', 'degree']",100,64,0.01,2000,500,500,12,3,desc,4,1
2024-05-23 19:23:21,0.0723239108920097,0.1779472827911377,news,gru,"['betweenness', 'closeness']",100,64,0.01,2000,500,500,12,6,desc,32,1
2024-05-24 07:06:08,0.072346307337284,0.1785804331302642,news,gru,"['betweenness', 'closeness', 'degree']",100,64,0.01,2000,500,500,12,6,desc,32,3
2024-05-24 12:01:23,0.072360411286354,0.1879704445600509,patents,gru,['betweenness'],100,64,0.01,2000,500,500,12,1,desc,4,2
2024-05-23 00:00:18,0.0724524855613708,0.190421462059021,patents,lstm,"['betweenness', 'closeness', 'degree']",100,64,0.01,2000,500,500,12,3,desc,8,1
2024-05-23 02:49:46,0.072497971355915,0.1886347085237503,patents,gru,"['betweenness', 'closeness', 'degree']",100,64,0.01,2000,500,500,12,3,desc,4,4
2024-05-24 04:48:00,0.0724996253848075,0.1896241009235382,patents,lstm,"['closeness', 'degree']",100,64,0.01,2000,500,500,12,3,desc,4,3
