topic number,perplexity,coherence,metric
2,1125.7768042322027,0.35976437553763385,c_v
4,1062.8373066765419,0.4817381501197815,c_v
6,954.8043627680864,0.5370784044265747,c_v
8,916.3067701030132,0.5431623546406628,c_v
10,866.074273471442,0.5464112366735935,c_v
12,838.5366756356074,0.5564803400387367,c_v
14,810.8634836926246,0.5599890355552944,c_v
16,783.1839291389215,0.547231076739263,c_v
18,739.8574818386593,0.5751535500917169,c_v
20,721.5143420513259,0.5548017527535557,c_v
22,706.1470068586754,0.57075239230286,c_v
24,684.5406670241526,0.5803067620222767,c_v
26,669.1114983779355,0.5666670782634845,c_v
28,664.1169972919681,0.5764065307964172,c_v
30,642.4071601922594,0.5795199428498744,c_v
32,623.5038191400448,0.5909669448155909,c_v
34,618.6938592175986,0.6000062806203087,c_v
36,609.0989078100863,0.5988092525965638,c_v
38,596.9334090082268,0.6215233538888003,c_v
40,595.870870815537,0.6179328426346181,c_v
42,578.8233178586896,0.6146657667699313,c_v
44,567.0360807314812,0.6176692850887776,c_v
46,553.5561552848166,0.6418370790131713,c_v
48,567.0034112925388,0.6348252156128487,c_v
50,541.8161762142142,0.6426226182878017,c_v
