topic number,perplexity,coherence,metric
2,2043.0346290757266,0.4440343342721462,c_v
4,2178.562313238551,0.5982724830508233,c_v
6,2116.956305752325,0.6244115561246871,c_v
8,2031.3943234623364,0.6877402799669654,c_v
10,1989.6924175944957,0.7065646603703498,c_v
12,1972.1392356648073,0.6900237829734882,c_v
14,1963.1030907346956,0.6809888261370359,c_v
16,1996.023963902206,0.6634841758408584,c_v
18,1951.5300233421913,0.6830676080452073,c_v
20,1936.6319899683365,0.6798069195821881,c_v
22,1944.9069478353872,0.6589741481976076,c_v
24,1905.5971287723494,0.6468389442190529,c_v
26,1898.464216070944,0.6489774658631247,c_v
28,1891.074397229712,0.6334684870205819,c_v
30,1891.1119619486944,0.6351227455151578,c_v
32,1870.4789746180872,0.6400490909349172,c_v
34,1861.895177649389,0.6397075327661108,c_v
36,1850.9478127329776,0.6268283038710555,c_v
38,1859.45351110429,0.6232704886480382,c_v
40,1850.6213315840798,0.640730614331551,c_v
42,1845.098516402249,0.6295748969894788,c_v
44,1822.7283225886074,0.6293441021179951,c_v
46,1837.36314280025,0.6223543977607852,c_v
48,1829.0095683679572,0.6416598358191551,c_v
50,1841.5283900114555,0.615881890155375,c_v
52,1836.9232221710874,0.628094445899702,c_v
54,1816.395132167465,0.6175742870541634,c_v
56,1827.2820436706074,0.6282770654452697,c_v
58,1840.282049833139,0.6305017504463742,c_v
60,1820.2459796274304,0.6380498953225714,c_v
62,1840.2769121028948,0.6403098687078925,c_v
64,1826.4105338546342,0.6055383652419551,c_v
66,1835.3168966732678,0.6451080477486052,c_v
68,1835.650398979892,0.6325671443633513,c_v
70,1830.9999101605263,0.6197160907808158,c_v
72,1819.9849184026934,0.6113956698889119,c_v
74,1838.5530339435536,0.6441706784116732,c_v
76,1822.3241319700198,0.6170820546973694,c_v
78,1855.9689684572252,0.6158988928673075,c_v
80,1819.8194321892051,0.6255819813674318,c_v
82,1832.9679367588114,0.6085575504773638,c_v
84,1815.836669235804,0.6080153713850969,c_v
86,1858.0655294846808,0.634950376561908,c_v
88,1846.998543740774,0.6210801006548782,c_v
90,1845.1365812416777,0.6258735625795087,c_v
92,1847.2282201816574,0.6099554296420969,c_v
94,1837.8828694559816,0.6258185913231463,c_v
96,1874.5689001412163,0.6124079697610187,c_v
98,1849.9074549758307,0.6089136128598936,c_v
100,1849.8500489798914,0.6134038774652875,c_v
