topic number,perplexity,coherence,metric
2,2670.4105270307573,0.46128120049834254,c_v
4,3008.23320546282,0.6194162555038929,c_v
6,3126.098058274402,0.6280347593128681,c_v
8,3293.482488820502,0.6300609404221177,c_v
10,3370.550208526917,0.6752680788934231,c_v
12,3415.384591166585,0.6592318297674259,c_v
14,3488.9089739554342,0.6538829285385354,c_v
16,3505.2397465484005,0.6639228083367925,c_v
18,3563.8266666857003,0.6784269673956764,c_v
20,3587.996024920049,0.6861558496579528,c_v
22,3584.8688617840667,0.6807226954874667,c_v
24,3693.5823226254115,0.6859040750927913,c_v
26,3685.08212661384,0.6765091733509998,c_v
28,3730.9035534693535,0.6757139754082475,c_v
30,3759.8828420182463,0.683936746964852,c_v
32,3774.2025592220143,0.683662160439417,c_v
34,3859.00922150286,0.6759660565612756,c_v
36,3890.7297599351673,0.6815391222428943,c_v
38,3894.389137431471,0.6670679490621152,c_v
40,3910.4375061275978,0.6755164636671545,c_v
42,3960.252292528568,0.6715435354305166,c_v
44,4008.595803500037,0.6551745461173017,c_v
46,4056.147254376579,0.6722171033600994,c_v
48,4081.471189392108,0.6567051519290542,c_v
50,4133.782042789564,0.662414218928665,c_v
