topic number,perplexity,coherence,metric
2,1446.6593157155507,0.40109423287212853,c_v
4,1591.299155246091,0.5054211655631661,c_v
6,1730.0906007838653,0.5281815081834793,c_v
8,1748.9305697531486,0.5473448150791228,c_v
10,1807.5041819704404,0.5653114208579063,c_v
12,1841.837533187235,0.5562524339805047,c_v
14,1825.7790085897514,0.5526195889072759,c_v
16,1819.7740668147787,0.5654796657850965,c_v
18,1835.1067830890859,0.5640977311465475,c_v
20,1787.09081932513,0.5869321512989699,c_v
22,1839.3540740860935,0.5591861532493071,c_v
24,1870.1720559894875,0.5512894622360666,c_v
26,1867.0722530207431,0.5753399893641472,c_v
28,1853.4894818319694,0.5911892109683582,c_v
30,1879.3022635552572,0.5536919437597195,c_v
32,1852.9455038152112,0.573874069485464,c_v
34,1866.807787858134,0.5795541349579306,c_v
36,1850.3482212230035,0.5897268124959535,c_v
38,1853.1622116907445,0.5725494004786015,c_v
40,1865.1261229651836,0.5938482079096138,c_v
42,1863.1047439681781,0.5776768981822813,c_v
44,1870.0040702231709,0.5770899788074364,c_v
46,1853.139027818847,0.5826683862863675,c_v
48,1876.2570489143832,0.5903590448511143,c_v
50,1863.633280326501,0.5897844684422016,c_v
