0	communication
1	vehicle
2	delivery
3	package
4	transport
5	area
6	property
7	vehicles
8	display
9	location
10	vehicle
11	area
12	vehicles
13	communications
14	controller
15	traffic
16	wireless
17	devices
18	location
19	map
